dataset_id,dataset_name,original_number_features,final_number_features,original_number_rows,final_number_rows,original_density,final_density,binary_feature,initial_XGB_r2,initial_XGB_accuracy,initial_XGB_normalized_accuracy,final_XGB_r2,final_XGB_accuracy,final_XGB_normalized_accuracy,initial_NN_TORCH_r2,initial_NN_TORCH_accuracy,initial_NN_TORCH_normalized_accuracy,final_NN_TORCH_r2,final_NN_TORCH_accuracy,final_NN_TORCH_normalized_accuracy,final_improvement_xgb,final_improvement_accuracy,final_improvement_r2
46938,Is-this-a-good-customer,13,7,1723,444,1.3356526487161817e-10,0.20555555555555555,sex,,0.8839458413926499,0.7678916827852997,,0.917910447761194,0.835820895522388,,0.8839458413926499,0.7678916827852997,,0.917910447761194,0.835820895522388,8.84619722545961,0.0,
46939,kddcup09_appetency,212,8,50000,14,0.0,0.109375,Var2,,0.9814,0.9628000000000001,,,,,0.9814,0.9628000000000001,,,,,,
46940,Marketing_Campaign,25,8,2039,67,3.46008068054626e-32,0.11631944444444445,AcceptedCmp3,,0.8824404761904762,0.7648809523809523,,0.5714285714285714,0.1428571428571428,,0.8973214285714286,0.7946428571428572,,0.5238095238095238,0.04761904761904767,-81.32295719844359,66.66666666666661,
46941,maternal_health_risk,6,2,416,40,7.372958257713248e-06,0.3125,,,0.8032786885245902,0.7049180327868853,,,,,0.7213114754098361,0.5819672131147541,,,,,,
46942,miami_housing,15,4,13776,2812,1.011417240408681e-44,0.24409722222222222,avno60plus,0.9270893214651426,,,0.22155186078002653,,,0.9153250960023146,,,0.1378773958351821,,,-76.10242555378666,,37.76743948358113
46980,MIC,111,5,1699,37,1.038332178849761e-68,0.22839506172839505,SEX,,0.888235294117647,0.8722689075630251,,0.6666666666666666,0.619047619047619,,0.8764705882352941,0.8588235294117647,,0.25,0.14285714285714285,-29.030186255619782,76.92307692307692,
46969,NATICUSdroid,86,9,7395,69,9.557813484108812e-23,0.134765625,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,,0.9426156583629893,0.8852313167259787,,0.8571428571428571,0.7142857142857142,,0.9417259786476868,0.8834519572953736,,0.9523809523809523,0.9047619047619047,-19.310839913855002,-26.666666666666668,
46947,online_shoppers_intention,17,5,12205,374,1.3093726543475288e-29,0.14429012345679013,Weekend,,0.9010543390105434,0.8021086780210869,,0.8495575221238938,0.6991150442477876,,0.9034874290348743,0.8069748580697487,,0.8495575221238938,0.6991150442477876,-12.840358993172702,0.0,
46949,physiochemical_protein,9,1,43974,341,4.142388833151155e-35,1.0,,0.6812666781527779,,,,,,0.6186752891211414,,,,,,,,
46950,polish_companies_bankruptcy,64,1,5850,3255,9.503573095074777e-236,1.0003073140749847,,,0.9695431472081218,0.9390862944162437,,,,,0.9503666102650874,0.9007332205301748,,,,,,
46952,qsar-biodeg,41,5,1051,15,2.447263710241777e-63,0.15625,Presence_CBr_At_Dist1,,0.861198738170347,0.722397476340694,,,,,0.8675078864353313,0.7350157728706626,,,,,,
46953,QSAR-TID-11,1024,9,5259,53,2.925415855472343e-305,0.103515625,FCFP6_1024_342,0.7474198907943428,,,-0.023010117194396162,,,0.7699420118875883,,,-0.0009821075415499259,,,-103.07860648048066,,95.73184467835259
46954,QSAR_fish_toxicity,6,2,774,23,7.633914023940202e-10,0.6571428571428571,,0.5747140979611145,,,,,,0.5535852990443431,,,,,,,,
46955,SDSS17,11,2,78053,6000,2.0754355569286495e-42,1.0,,,0.9768107277075504,0.9652160915613256,,,,,0.9717714383327639,0.9576571574991457,,,,,,
46956,seismic-bumps,15,6,2578,53,9.400295346125563e-18,0.1840277777777778,seismic,,0.9342783505154639,0.8685567010309279,,0.875,0.75,,0.9342783505154639,0.8685567010309279,,0.875,0.75,-13.64985163204748,0.0,
46958,splice,60,7,3005,2519,6.838044444444444e-38,0.15374755859375,,,0.9529780564263323,0.9294670846394982,,0.6216931216931217,0.4325396825396826,,0.9393939393939394,0.9090909090909092,,0.6243386243386243,0.43650793650793646,-53.46369014159906,-0.9174311926605214,
46960,students_dropout_and_academic_success,36,9,4424,175,1.2905192552173215e-40,0.11393229166666667,Daytimeevening_attendance,,0.7838855421686747,0.675828313253012,,0.5471698113207547,0.32075471698113206,,0.7771084337349398,0.6656626506024096,,0.6226415094339622,0.43396226415094336,-52.53902349293109,-35.29411764705881,
46961,superconductivity,81,2,15170,45,3.872284267669358e-287,0.7142857142857143,,0.9268951047524294,,,,,,0.914143163737598,,,,,,,,
46962,taiwanese_bankruptcy_prediction,94,2,6819,389,0.0,0.510498687664042,Liability_Assets_Flag,,0.9701857282502444,0.9403714565004888,,,,,0.9721407624633431,0.9442815249266863,,,,,,
46963,website_phishing,9,8,676,558,0.0772748056698674,0.19135802469135801,age_of_domain,,0.9039408866995073,0.855911330049261,,0.7976190476190477,0.6964285714285715,,0.9014778325123153,0.8522167487684728,,0.7738095238095238,0.6607142857142857,-18.633093525179838,5.128205128205141,
46964,wine_quality,12,3,5320,2368,4.506093482946806e-22,0.12550349798600804,wine_color,0.5139691233634949,,,0.04400527477264404,,,0.3967527151107788,,,0.05553853511810303,,,-91.43814817421976,,-26.208813386682127
